time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci,id,payload_mb,throughput_mbits,rtt_ms,f_mhz,scenario,provider,timestamp,enodeb,drive_id
92.95,1544433019,780.33,51.494387,7.415546,152.34,0,0,347.22,1,-98,-13,-6,6,41,13,13880067,38,8,5,0.36,1329,850,campus,o2,2018-12-10T09:10:19Z,54219,1
90.49,1544433023,760.14,51.49436,7.41551,156.21,0,0,346.59,1,-95,-7,23,12,30,16,12806666,385,8,6,65.04,61,1865,campus,vodafone,2018-12-10T09:10:23Z,50026,1
100.18,1544433027,755.91,51.494432,7.415501,154.57,0,0,346.05,1,-94,-10,2,7,48,4,29391105,167,9,9,16.86,47,1815,campus,tmobile,2018-12-10T09:10:27Z,114809,1
104.08,1544433030,780.33,51.494434,7.41553,153.14,0,0,348.09,1,-97,-14,-4,4,44,13,13880067,38,9,2,0.3,1487,850,campus,o2,2018-12-10T09:10:30Z,54219,1
100.51,1544433033,760.14,51.49436,7.41551,156.44,0,0,346.59,1,-92,-8,24,15,36,16,12806666,385,9,0.5,22.22,52,1865,campus,vodafone,2018-12-10T09:10:33Z,50026,1
110.21,1544433038,763.5,51.494519,7.415436,156.33,0.54,-0.42,348.18,1,-92,-9,24,10,48,4,29391105,167,10,5,11.24,40,1815,campus,tmobile,2018-12-10T09:10:38Z,114809,1
113.07,1544433040,792.38,51.494516,7.415474,154.34,0,-0.48,353.53,1,-98,-16,-6,5,44,13,13880067,38,10,9,0.78,1204,850,campus,o2,2018-12-10T09:10:40Z,54219,1
110.54,1544433043,771.63,51.49452,7.415441,157.82,0,-0.84,347.86,1,-98,-6,14,12,27,16,12806666,385,10,7,53.28,51,1865,campus,vodafone,2018-12-10T09:10:43Z,50026,1
120.18,1544433048,765.22,51.494556,7.415402,154.38,2.56,1.38,267.43,1,-93,-10,10,9,48,4,29391104,165,11,4,11.58,71,1815,campus,tmobile,2018-12-10T09:10:48Z,114809,1
123.45,1544433049,800.25,51.494514,7.415153,157.62,5.01,0.94,267.07,1,-99,-16,-3,5,42,13,13880066,37,11,4,0.35,2526,850,campus,o2,2018-12-10T09:10:49Z,54219,1
120.51,1544433053,771.63,51.494542,7.415315,159.26,5.7,0,266.74,1,-95,-6,23,14,30,16,12806666,385,11,1,40.4,51,1865,campus,vodafone,2018-12-10T09:10:53Z,50026,1
130.15,1544433057,853.49,51.494345,7.413809,160.43,12.4,0.13,258.47,1,-87,-7,22,12,52,4,29391104,165,12,9,23.97,32,1815,campus,tmobile,2018-12-10T09:10:57Z,114809,1
136.23,1544433063,939.41,51.494214,7.41297,159.63,12.47,0.12,258.14,1,-95,-14,-2,6,45,11,13542402,34,12,7,0.76,1535,850,campus,o2,2018-12-10T09:11:03Z,52900,1
130.53,1544433063,867.84,51.494369,7.414004,159.49,12.37,0.3,257.58,1,-106,-8,13,15,20,16,12806666,385,12,5,31.23,52,1865,campus,vodafone,2018-12-10T09:11:03Z,50026,1
140.16,1544433067,978.22,51.494081,7.412069,167.39,13.13,0.31,258.2,1,-78,-6,15,15,57,4,29391104,165,13,7,23.43,40,1815,campus,tmobile,2018-12-10T09:11:07Z,114809,1
143.23,1544433070,1029.44,51.49406,7.411695,160.28,13.28,-0.13,257.83,1,-93,-15,-6,5,47,13,13880067,38,13,2,0.31,577,850,campus,o2,2018-12-10T09:11:10Z,54219,1
140.51,1544433073,990.87,51.494126,7.412227,161.11,12.59,-0.33,258.48,1,-105,-10,1,6,26,16,12806666,385,13,1,22.6,58,1865,campus,vodafone,2018-12-10T09:11:13Z,50026,1
150.13,1544433077,1113.81,51.493817,7.410149,170.34,13.66,0.08,258.54,1,-84,-7,13,14,54,4,29391104,165,14,1,5.76,92,1815,campus,tmobile,2018-12-10T09:11:17Z,114809,1
153.37,1544433080,1165.43,51.493794,7.409747,164.13,14.07,0.22,257.99,1,-99,-19,-8,1,46,13,13880067,38,14,1,0.24,289,850,campus,o2,2018-12-10T09:11:20Z,54219,1
150.56,1544433083,1125.13,51.493838,7.410137,164.59,13.69,0.09,258.1,1,-105,-7,14,15,19,16,12806666,385,14,0.1,133.33,63,1865,campus,vodafone,2018-12-10T09:11:23Z,50026,1
160.17,1544433087,1251.54,51.493548,7.408189,174.14,14.09,0.18,258.26,1,-83,-7,7,9,55,3,29391106,166,15,8,20.59,47,1815,campus,tmobile,2018-12-10T09:11:27Z,114809,1
163.98,1544433090,1303.32,51.493538,7.407812,166.79,14.13,-0.22,258.1,1,-97,-16,-4,4,45,8,13542402,34,15,4,0.63,1620,850,campus,o2,2018-12-10T09:11:30Z,52900,1
160.52,1544433093,1262.24,51.493606,7.408412,163.69,13.86,0.4,258.42,1,-104,-8,12,10,20,16,12806666,385,15,4,39.9,53,1865,campus,vodafone,2018-12-10T09:11:33Z,50026,1
170.17,1544433097,1388.6,51.4933,7.406279,173.57,13.61,-0.15,257.85,1,-90,-8,9,12,49,3,29391106,166,16,2,13.41,54,1815,campus,tmobile,2018-12-10T09:11:37Z,114809,1
172.02,1544433098,1425.98,51.493305,7.406075,166.34,13.46,-0.16,257.74,1,-93,-14,-1,6,46,8,13542402,34,16,2,0.54,626,850,campus,o2,2018-12-10T09:11:38Z,52900,1
170.54,1544433103,1398.98,51.493344,7.406476,163.85,13.74,0.28,258.01,1,-99,-7,14,11,24,16,12806666,385,16,4,21.08,52,1865,campus,vodafone,2018-12-10T09:11:43Z,50026,1
180.18,1544433108,1530.81,51.493061,7.404271,171.03,14.34,-0.16,257.98,1,-91,-7,9,7,46,3,29391106,166,17,8,11.18,56,1815,campus,tmobile,2018-12-10T09:11:48Z,114809,1
180.58,1544433113,1541.06,51.493083,7.404443,166.58,14.52,0.17,258.19,1,-107,-8,7,7,19,16,12806666,385,17,1,16.81,61,1865,campus,vodafone,2018-12-10T09:11:53Z,50026,1
188.17,1544433114,1650.42,51.492977,7.402901,165.47,12.05,-1,266.41,1,-101,-17,-6,3,41,8,13542402,34,17,9,2.51,1403,850,campus,o2,2018-12-10T09:11:54Z,52900,1
190.16,1544433117,1657.87,51.49299,7.402486,166.52,8.58,-0.61,270.34,1,-98,-7,5,6,39,7,26385410,94,18,3,11.74,40,1815,campus,tmobile,2018-12-10T09:11:57Z,103068,1
191.98,1544433118,1682.29,51.49298,7.402481,165.39,8.61,-0.74,269.94,1,-98,-13,-6,5,41,10,13542403,35,18,6,1.03,622,850,campus,o2,2018-12-10T09:11:58Z,52900,1
190.52,1544433123,1673.43,51.492975,7.402609,166.21,9.26,-1.15,269.12,1,-111,-8,23,15,16,16,12806666,385,18,0.5,20.83,50,1865,campus,vodafone,2018-12-10T09:12:03Z,50026,1
200.19,1544433128,1690.01,51.493009,7.402097,163.6,0,0,268.19,1,-92,-7,13,8,46,7,26385410,94,19,1,12.08,66,1815,campus,tmobile,2018-12-10T09:12:08Z,103068,1
202.23,1544433129,1714.49,51.492998,7.402092,163.01,0,0,271.85,1,-91,-11,6,6,48,10,13542403,35,19,5,0.39,1025,850,campus,o2,2018-12-10T09:12:09Z,52900,1
200.51,1544433133,1713.09,51.492998,7.402103,163.84,0,0,270.75,1,-107,-7,7,10,16,16,12806666,385,19,10,29.06,51,1865,campus,vodafone,2018-12-10T09:12:13Z,50026,1
210.16,1544433138,1690.01,51.493009,7.402097,163.44,0,0,268.19,1,-92,-7,12,8,46,7,26385410,94,20,5,13.59,38,1815,campus,tmobile,2018-12-10T09:12:18Z,103068,1
210.59,1544433143,1713.09,51.492998,7.402103,163.86,0,0,270.75,1,-108,-7,5,10,20,16,12806666,385,20,10,20.13,116,1865,campus,vodafone,2018-12-10T09:12:23Z,50026,1
222.55,1544433148,1714.49,51.493011,7.40199,162.56,0,0,281.04,1,-90,-12,5,6,48,10,13542403,35,21,10,0.81,1246,850,campus,o2,2018-12-10T09:12:28Z,52900,1
220.18,1544433148,1690.01,51.493009,7.402097,162.99,0,0,274.43,1,-93,-8,13,6,46,7,26385410,94,21,0.5,6.93,82,1815,campus,tmobile,2018-12-10T09:12:28Z,103068,1
220.49,1544433153,1713.09,51.492998,7.402103,163.62,0,0,270.75,1,-106,-7,10,10,18,16,12806666,385,21,7,33.39,62,1865,campus,vodafone,2018-12-10T09:12:33Z,50026,1
230.19,1544433157,1731.51,51.492675,7.401744,163.13,9.32,0.64,182.7,1,-90,-7,16,10,49,7,26385410,94,22,10,24.39,54,1815,campus,tmobile,2018-12-10T09:12:37Z,103068,1
230.55,1544433163,1745.24,51.49275,7.401757,163.6,8.24,1.24,182.18,1,-111,-8,8,7,15,16,12806666,385,22,10,10.86,64,1865,campus,vodafone,2018-12-10T09:12:43Z,50026,1
240.16,1544433167,1847.04,51.491604,7.401756,168.34,12,0.24,181.66,1,-87,-6,19,9,48,7,26385410,94,23,4,16.35,50,1815,campus,tmobile,2018-12-10T09:12:47Z,103068,1
241.66,1544433174,1869.34,51.491614,7.40171,171.77,11.76,0.12,180.5,1,-112,-10,3,7,15,16,12806666,385,23,1,7.23,579,1865,campus,vodafone,2018-12-10T09:12:54Z,50026,1
250.22,1544433178,1961.11,51.490563,7.401776,172.94,11.28,-0.08,179.66,1,-82,-6,25,15,55,7,26385410,94,24,0.5,8.23,52,1815,campus,tmobile,2018-12-10T09:12:58Z,103068,1
250.5,1544433183,1971.48,51.490582,7.401719,173.93,11.19,-0.15,179.36,1,-109,-8,7,15,18,16,12806666,385,24,7,25.79,60,1865,campus,vodafone,2018-12-10T09:13:03Z,50026,1
260.21,1544433188,2065.06,51.489672,7.40178,180.69,3.99,-2.7,181.55,1,-71,-6,25,15,63,7,26385410,94,25,2,9.86,59,1815,campus,tmobile,2018-12-10T09:13:08Z,103068,1
260.53,1544433193,2078.62,51.48973,7.401699,178.31,6.4,-2.13,180.66,1,-107,-7,7,15,18,16,12806666,385,25,6,21.91,56,1865,campus,vodafone,2018-12-10T09:13:13Z,50026,1
270.23,1544433198,2118.13,51.489393,7.402219,180.34,9.4,0.74,93.5,1,-67,-5,20,13,63,7,26385410,94,26,0.5,5.4,54,1815,campus,tmobile,2018-12-10T09:13:18Z,103068,1
270.5,1544433203,2132.58,51.489398,7.402021,178.53,8.88,1.1,96.47,1,-110,-9,5,6,18,16,12806666,385,26,0.5,12.5,68,1865,campus,vodafone,2018-12-10T09:13:23Z,50026,1
280.14,1544433207,2233.66,51.489415,7.403903,180.07,12.13,-0.39,90.32,1,-70,-6,19,15,63,7,26385410,94,27,0.1,2.56,88,1815,campus,tmobile,2018-12-10T09:13:27Z,103068,1
280.54,1544433213,2244.42,51.489377,7.403677,175.73,12.51,-0.16,90.77,1,-110,-11,2,7,20,16,12806666,385,27,4,11.92,73,1865,campus,vodafone,2018-12-10T09:13:33Z,50026,1
290.17,1544433218,2350.05,51.489427,7.405539,180.64,11.29,0.18,86.9,1,-73,-7,17,9,63,1,26385408,95,28,4,18.23,33,1815,campus,tmobile,2018-12-10T09:13:38Z,103068,1
290.51,1544433223,2362.14,51.489398,7.405369,179.27,11.05,-0.19,88.34,1,-100,-12,4,15,24,71,13067274,289,28,8,34.1,49,1865,campus,vodafone,2018-12-10T09:13:43Z,51044,1
300.16,1544433228,2461.73,51.489625,7.407082,178.59,8.82,-1.07,78.03,1,-72,-6,21,15,63,1,26385408,95,29,7,22.82,52,1815,campus,tmobile,2018-12-10T09:13:48Z,103068,1
300.57,1544433233,2474.43,51.489587,7.406969,182.92,9.85,-1.35,78.28,1,-99,-9,10,12,24,71,13067274,289,29,1,36.36,58,1865,campus,vodafone,2018-12-10T09:13:53Z,51044,1
310.14,1544433238,2507.31,51.489742,7.407717,179.12,6.84,2.4,75.24,1,-78,-6,18,15,59,1,26385408,95,30,5,20.92,37,1815,campus,tmobile,2018-12-10T09:13:58Z,103068,1
310.53,1544433243,2525.86,51.489743,7.407698,180.14,6.52,3.16,76.44,1,-101,-8,6,15,21,71,13067274,289,30,8,24.74,55,1865,campus,vodafone,2018-12-10T09:14:03Z,51044,1
320.21,1544433247,2595.68,51.489877,7.409047,177.91,10.37,0.04,77.59,1,-79,-5,21,12,57,1,26385408,95,31,0.1,4.71,41,1815,campus,tmobile,2018-12-10T09:14:07Z,103068,1
320.49,1544433253,2610.92,51.489846,7.408868,175.12,10.41,0.25,77.96,1,-106,-8,4,12,19,71,13067274,289,31,5,15.25,50,1865,campus,vodafone,2018-12-10T09:14:13Z,51044,1
10.55,1544433277,126.36,51.490534,7.413869,160.59,13.13,-0.1,78.54,1,-91,-6,7,15,46,1,26385408,95,0,5,15.08,35,1815,campus,tmobile,2018-12-10T09:14:37Z,103068,1
10.48,1544433281,124.27,51.490504,7.413672,158.39,13.23,0.24,78.96,1,-117,-11,1,7,15,63,13067274,289,0,0.5,1.68,61,1865,campus,vodafone,2018-12-10T09:14:41Z,51044,1
20.57,1544433287,255.36,51.490702,7.415746,155.97,12.13,-0.21,85.86,1,-85,-6,3,6,51,4,29391105,167,1,5,10.44,53,1815,campus,tmobile,2018-12-10T09:14:47Z,114809,1
22.06,1544433293,278.64,51.490706,7.41585,154.42,11.78,-0.37,87.91,1,-113,-17,-6,4,24,19,13532675,385,1,7,10.56,156,860,campus,vodafone,2018-12-10T09:14:53Z,52862,1
30.55,1544433296,334.54,51.490596,7.41678,155.7,1.9,-0.96,104.41,1,-88,-6,14,11,49,4,29391105,167,2,7,24.73,46,1815,campus,tmobile,2018-12-10T09:14:56Z,114809,1
30.51,1544433301,342.84,51.490616,7.416701,151.68,3.02,-0.94,101.5,1,-113,-13,-2,7,16,17,12806666,385,2,1,17.32,60,1865,campus,vodafone,2018-12-10T09:15:01Z,50026,1
40.52,1544433307,338.43,51.490589,7.416816,155.49,0,0,103.29,1,-81,-5,22,14,55,4,29391105,167,3,0.5,7.48,60,1815,campus,tmobile,2018-12-10T09:15:07Z,114809,1
41.52,1544433312,350.68,51.490598,7.416804,151.72,0,0,100.16,1,-114,-12,1,8,19,17,12806666,385,3,5,11.48,687,1865,campus,vodafone,2018-12-10T09:15:12Z,50026,1
50.59,1544433317,338.43,51.490589,7.416816,155.6,0,0,103.29,1,-81,-7,23,14,57,4,29391105,167,4,6,17.19,60,1815,campus,tmobile,2018-12-10T09:15:17Z,114809,1
50.87,1544433321,350.68,51.490598,7.416804,151.74,0,0,100.16,1,-105,-6,11,9,20,20,13392904,347,4,6,20.1,50,1865,campus,vodafone,2018-12-10T09:15:21Z,52316,1
60.31,1544433324,374.79,51.490563,7.416997,153.94,4.07,0,101.2,1,-88,-8,7,7,47,6,13416962,275,5,6,7.64,43,850,campus,o2,2018-12-10T09:15:24Z,52410,1
60.55,1544433327,355.23,51.490581,7.417209,157.57,4.63,0.13,47.64,1,-86,-7,20,11,52,4,29391105,167,5,7,21.18,59,1815,campus,tmobile,2018-12-10T09:15:27Z,114809,1
60.49,1544433331,363,51.490574,7.417124,152.13,4.39,-0.19,70.31,1,-111,-8,2,8,14,20,13392904,347,5,9,15.25,60,1865,campus,vodafone,2018-12-10T09:15:31Z,52316,1
70.29,1544433334,437.52,51.491046,7.417096,156.49,9.23,0.17,350.81,1,-86,-8,9,6,48,6,13416962,275,6,1,1.94,108,850,campus,o2,2018-12-10T09:15:34Z,52410,1
70.53,1544433337,432.05,51.491319,7.417028,159.89,9.9,0.65,348.03,1,-92,-6,11,15,46,4,29391105,167,6,6,10.76,87,1815,campus,tmobile,2018-12-10T09:15:37Z,114809,1
70.47,1544433341,435.5,51.491222,7.417046,154.56,9.22,0.06,348.84,1,-112,-9,2,9,16,17,12806666,385,6,3,14.74,69,1865,campus,vodafone,2018-12-10T09:15:41Z,50026,1
80.35,1544433344,534.99,51.491904,7.416741,158.69,10.71,0.38,339.59,1,-93,-12,-3,7,46,6,13416962,275,7,9,1.6,65,850,campus,o2,2018-12-10T09:15:44Z,52410,1
80.54,1544433346,533.74,51.492156,7.416508,159.15,12.06,1.39,332.87,1,-86,-5,27,10,50,4,29391105,167,7,4,16.32,59,1815,campus,tmobile,2018-12-10T09:15:46Z,114809,1
80.48,1544433351,534.63,51.492065,7.416593,154.93,10.64,0.47,334.66,1,-110,-9,2,9,16,17,12806666,385,7,9,25.41,61,1865,campus,vodafone,2018-12-10T09:15:51Z,50026,1
90.53,1544433356,658.96,51.493257,7.416049,152.13,12.65,-0.12,350.99,1,-96,-9,4,13,41,4,29391105,167,8,10,15.5,47,1815,campus,tmobile,2018-12-10T09:15:56Z,114809,1
93.27,1544433358,692.4,51.493259,7.415914,155.18,12.62,-0.3,348.07,1,-102,-16,2,4,39,6,13416962,275,8,2,0.34,1578,850,campus,o2,2018-12-10T09:15:58Z,52410,1
90.53,1544433361,656.26,51.493113,7.41598,156.88,12.85,-0.23,346.97,1,-111,-7,11,15,14,17,12806666,385,8,7,27.81,64,1865,campus,vodafone,2018-12-10T09:16:01Z,50026,1
101.87,1544433366,786.47,51.494084,7.415646,156.14,9.4,-0.82,343.89,1,-94,-13,-3,4,44,12,13542402,34,9,2,0.5,637,850,campus,o2,2018-12-10T09:16:06Z,52900,1
100.52,1544433366,770.86,51.494212,7.415626,153.02,7.24,-1.09,346.3,1,-89,-7,12,15,48,4,29391105,167,9,2,8.27,78,1815,campus,tmobile,2018-12-10T09:16:06Z,114809,1
100.5,1544433371,772.13,51.494132,7.415612,152.53,8.05,-1.28,345.27,1,-94,-6,13,12,30,17,12806666,385,9,5,41.37,49,1865,campus,vodafone,2018-12-10T09:16:11Z,50026,1
112.55,1544433376,826.58,51.494381,7.415528,156.89,0,0,347.99,1,-99,-14,-4,5,42,12,13542402,34,10,1,0.48,6720,850,campus,o2,2018-12-10T09:16:16Z,52900,1
110.55,1544433376,793.86,51.494353,7.415551,153.9,0,0,348.41,1,-93,-8,7,15,46,4,29391105,167,10,5,7.68,115,1815,campus,tmobile,2018-12-10T09:16:16Z,114809,1
110.52,1544433381,802.48,51.494357,7.415522,153.19,0,0,346.94,1,-92,-6,16,15,31,17,12806666,385,10,10,60.61,54,1865,campus,vodafone,2018-12-10T09:16:21Z,50026,1
122.12,1544433386,826.58,51.494381,7.415528,156.9,0,0,347.99,1,-98,-15,-4,5,43,12,13542402,34,11,3,1.57,787,850,campus,o2,2018-12-10T09:16:26Z,52900,1
120.57,1544433387,793.86,51.494353,7.415551,153.49,0,0,348.41,1,-96,-8,11,11,43,4,29391105,167,11,6,9.9,49,1815,campus,tmobile,2018-12-10T09:16:27Z,114809,1
120.48,1544433391,802.48,51.494357,7.415522,153.7,0,0,346.94,1,-92,-6,24,15,33,17,12806666,385,11,6,55.94,50,1865,campus,vodafone,2018-12-10T09:16:31Z,50026,1
130.59,1544433397,799.05,51.494468,7.415569,150.76,0,0,348.42,1,-95,-10,4,6,47,4,29391105,167,12,3,4.89,47,1815,campus,tmobile,2018-12-10T09:16:37Z,114809,1
133.41,1544433398,833.75,51.494499,7.415477,157.86,0,0,351.75,1,-101,-16,-4,4,41,12,13542402,34,12,0.5,0.43,1386,850,campus,o2,2018-12-10T09:16:38Z,52900,1
130.51,1544433401,808.29,51.494474,7.415433,157.21,0,-0.71,350.05,1,-95,-6,19,15,29,17,12806666,385,12,8,45.91,56,1865,campus,vodafone,2018-12-10T09:16:41Z,50026,1
142.33,1544433406,884.71,51.494424,7.414592,158.96,11.86,0.98,258.37,1,-97,-12,-1,6,40,12,13542402,34,13,3,1.79,1009,850,campus,o2,2018-12-10T09:16:46Z,52900,1
140.55,1544433406,862.7,51.494415,7.414437,153.46,12.39,0.76,258.01,1,-92,-8,5,6,46,3,29391104,165,13,4,13.14,33,1815,campus,tmobile,2018-12-10T09:16:46Z,114809,1
140.5,1544433411,854.32,51.494416,7.414588,159.34,11.75,0.69,258.52,1,-99,-6,12,9,26,17,12806666,385,13,6,22.36,59,1865,campus,vodafone,2018-12-10T09:16:51Z,50026,1
152.45,1544433416,1009.29,51.494191,7.412823,157.93,13,-0.07,257.34,1,-100,-14,-1,5,40,12,13542402,34,14,10,4.07,808,850,campus,o2,2018-12-10T09:16:56Z,52900,1
150.53,1544433417,988.74,51.494176,7.412636,162.05,13.07,0.03,258.19,1,-86,-6,17,9,51,3,29391104,165,14,1,13.91,31,1815,campus,tmobile,2018-12-10T09:16:57Z,114809,1
150.5,1544433421,978.13,51.494182,7.412815,160.25,13.08,-0.07,257.13,1,-101,-7,16,10,23,17,12806666,385,14,0.5,17.62,64,1865,campus,vodafone,2018-12-10T09:17:01Z,50026,1
160.52,1544433426,1123.07,51.49393,7.410738,166.88,13.38,-0.08,258.36,1,-82,-7,24,12,56,3,29391104,165,15,0.1,5.03,33,1815,campus,tmobile,2018-12-10T09:17:06Z,114809,1
162.6,1544433427,1143,51.493944,7.41093,161.3,13.44,-0.29,258.44,1,-95,-11,1,6,42,12,13542402,34,15,6,2,958,850,campus,o2,2018-12-10T09:17:07Z,52900,1
160.48,1544433431,1110.77,51.493938,7.410898,165.72,13.46,-0.16,257.72,1,-103,-9,16,10,22,17,12806666,385,15,4,22.68,56,1865,campus,vodafone,2018-12-10T09:17:11Z,50026,1
170.66,1544433436,1259.06,51.493682,7.408821,166.94,13.35,-0.04,257.52,1,-81,-8,13,10,58,3,29391104,165,16,0.1,2.48,35,1815,campus,tmobile,2018-12-10T09:17:16Z,114809,1
172.71,1544433437,1278.61,51.493691,7.409001,162.14,13.38,-0.29,257.93,1,-96,-13,4,4,43,12,13542402,34,16,1,0.71,657,850,campus,o2,2018-12-10T09:17:17Z,52900,1
170.49,1544433441,1246.66,51.493686,7.408991,166.25,13.46,-0.26,257.65,1,-105,-9,11,15,20,17,12806666,385,16,7,32.48,62,1865,campus,vodafone,2018-12-10T09:17:21Z,50026,1
182.66,1544433446,1419.72,51.493436,7.407005,163.76,14.48,-0.27,258.41,1,-97,-16,-4,4,45,12,13542402,34,17,5,1.74,1258,850,campus,o2,2018-12-10T09:17:26Z,52900,1
180.53,1544433446,1401.46,51.493414,7.406812,168.06,14.26,-0.28,257.99,1,-83,-7,19,10,55,3,29391106,166,17,2,14.49,38,1815,campus,tmobile,2018-12-10T09:17:26Z,114809,1
180.5,1544433451,1387.89,51.493419,7.40698,171.17,14.44,-0.34,257.95,1,-100,-7,19,11,24,17,12806666,385,17,7,32.13,58,1865,campus,vodafone,2018-12-10T09:17:31Z,50026,1
